ULP, KWH ,BULAN,TAHUN
DARMO PERMAI,78666523,JANUARI,2023
DUKUH KUPANG,46582153,JANUARI,2023
GEDANGAN,56097592,JANUARI,2023
NGAGEL,58198725,JANUARI,2023
RUNGKUT,113217528,JANUARI,2023
DARMO PERMAI,70574939,FEBRUARI,2023
DUKUH KUPANG,41889685,FEBRUARI,2023
GEDANGAN,50328886,FEBRUARI,2023
NGAGEL,53148254,FEBRUARI,2023
RUNGKUT,104343278,FEBRUARI,2023
DARMO PERMAI,80252871,MARET,2023
DUKUH KUPANG,47246658,MARET,2023
GEDANGAN,56576726,MARET,2023
NGAGEL,60667380,MARET,2023
RUNGKUT,123344680,MARET,2023
DARMO PERMAI,74268566,APRIL,2023
DUKUH KUPANG,43814683,APRIL,2023
GEDANGAN,47445809,APRIL,2023
NGAGEL,56101716,APRIL,2023
RUNGKUT,99408866,APRIL,2023
DARMO PERMAI,82258696,MEI,2023
DUKUH KUPANG,48796689,MEI,2023
GEDANGAN,57322140,MEI,2023
NGAGEL,63200042,MEI,2023
RUNGKUT,121481026,MEI,2023
DARMO PERMAI,79880738,DESEMBER,2022
DUKUH KUPANG,47458661,DESEMBER,2022
GEDANGAN,56011796,DESEMBER,2022
NGAGEL,61598909,DESEMBER,2022
RUNGKUT,113578299,DESEMBER,2022
DARMO PERMAI,78493990,NOVEMBER,2022
DUKUH KUPANG,46595857,NOVEMBER,2022
GEDANGAN,55435589,NOVEMBER,2022
NGAGEL,60354288,NOVEMBER,2022
RUNGKUT,113488657,NOVEMBER,2022
DARMO PERMAI,81133744,OKTOBER,2022
DUKUH KUPANG,47641478,OKTOBER,2022
GEDANGAN,56995058,OKTOBER,2022
NGAGEL,62247716,OKTOBER,2022
RUNGKUT,115372218,OKTOBER,2022
DARMO PERMAI,81337604,SEPTEMBER,2022
DUKUH KUPANG,48049139,SEPTEMBER,2022
GEDANGAN,56972215,SEPTEMBER,2022
NGAGEL,62074513,SEPTEMBER,2022
RUNGKUT,116128575,SEPTEMBER,2022
DARMO PERMAI,80746639,AGUSTUS,2022
DUKUH KUPANG,47056261,AGUSTUS,2022
GEDANGAN,57289603,AGUSTUS,2022
NGAGEL,59998438,AGUSTUS,2022
RUNGKUT,114031450,AGUSTUS,2022
DARMO PERMAI,79215495,JULI,2022
DUKUH KUPANG,45716964,JULI,2022
GEDANGAN,56138671,JULI,2022
NGAGEL,58766064,JULI,2022
RUNGKUT,111100626,JULI,2022
DARMO PERMAI,78587026,JUNI,2022
DUKUH KUPANG,45288000,JUNI,2022
GEDANGAN,57033934,JUNI,2022
NGAGEL,59429623,JUNI,2022
RUNGKUT,111313428,JUNI,2022
,,,
