ULP;LEMBAR;RPPTL;BULAN;TAHUN
DARMO PERMAI; 10.149 ; 3.813.489.555 ;JANUARI;2023
DUKUH KUPANG; 6.702 ; 2.424.982.520 ;JANUARI;2023
GEDANGAN; 10.805 ; 3.226.058.285 ;JANUARI;2023
NGAGEL; 8.260 ; 3.590.045.618 ;JANUARI;2023
RUNGKUT; 9.007 ; 3.853.234.047 ;JANUARI;2023
DARMO PERMAI; 10.351 ; 3.723.516.125 ;FEBRUARI;2023
DUKUH KUPANG; 6.826 ; 2.679.679.836 ;FEBRUARI;2023
GEDANGAN; 10.821 ; 3.694.121.544 ;FEBRUARI;2023
NGAGEL; 8.567 ; 3.510.989.847 ;FEBRUARI;2023
RUNGKUT; 9.106 ; 4.199.898.123 ;FEBRUARI;2023
DARMO PERMAI; 10.058 ; 3.284.620.255 ;MARET;2023
DUKUH KUPANG; 6.866 ; 2.084.677.757 ;MARET;2023
GEDANGAN; 10.878 ; 2.842.597.897 ;MARET;2023
NGAGEL; 8.119 ; 2.865.938.614 ;MARET;2023
RUNGKUT; 9.065 ; 3.440.956.952 ;MARET;2023
DARMO PERMAI; 9.097 ; 3.690.931.754 ;APRIL;2023
DUKUH KUPANG; 6.260 ; 2.498.656.569 ;APRIL;2023
GEDANGAN; 9.773 ; 3.066.107.415 ;APRIL;2023
NGAGEL; 7.307 ; 3.473.977.526 ;APRIL;2023
RUNGKUT; 7.968 ; 3.445.609.952 ;APRIL;2023
DARMO PERMAI; 10.050 ; 3.775.720.331 ;MEI;2023
DUKUH KUPANG; 6.749 ; 2.323.121.366 ;MEI;2023
GEDANGAN; 10.752 ; 3.154.800.841 ;MEI;2023
NGAGEL; 8.179 ; 3.351.255.193 ;MEI;2023
RUNGKUT; 8.955 ; 3.527.088.254 ;MEI;2023
DARMO PERMAI; 9.477 ; 3.571.239.413 ;DESEMBER;2022
DUKUH KUPANG; 6.719 ; 2.242.742.911 ;DESEMBER;2022
GEDANGAN; 10.651 ; 3.206.412.131 ;DESEMBER;2022
NGAGEL; 8.241 ; 3.535.126.592 ;DESEMBER;2022
RUNGKUT; 8.832 ; 3.766.064.976 ;DESEMBER;2022
DARMO PERMAI; 10.685 ; 4.453.021.330 ;NOVEMBER;2022
DUKUH KUPANG; 7.512 ; 2.707.820.624 ;NOVEMBER;2022
GEDANGAN; 11.926 ; 3.798.816.834 ;NOVEMBER;2022
NGAGEL; 9.024 ; 4.094.882.904 ;NOVEMBER;2022
RUNGKUT; 9.525 ; 4.273.974.446 ;NOVEMBER;2022
DARMO PERMAI; 10.194 ; 3.846.181.104 ;OKTOBER;2022
DUKUH KUPANG; 6.828 ; 2.452.167.472 ;OKTOBER;2022
GEDANGAN; 10.696 ; 3.377.477.169 ;OKTOBER;2022
NGAGEL; 8.167 ; 3.387.047.409 ;OKTOBER;2022
RUNGKUT; 8.638 ; 3.729.206.431 ;OKTOBER;2022
DARMO PERMAI; 9.699 ; 3.639.694.267 ;SEPTEMBER;2022
DUKUH KUPANG; 6.656 ; 2.411.185.649 ;SEPTEMBER;2022
GEDANGAN; 10.503 ; 3.351.171.283 ;SEPTEMBER;2022
NGAGEL; 7.929 ; 3.653.992.393 ;SEPTEMBER;2022
RUNGKUT; 8.380 ; 3.843.359.591 ;SEPTEMBER;2022
DARMO PERMAI; 10.534 ; 3.740.365.019 ;AGUSTUS;2022
DUKUH KUPANG; 7.042 ; 2.465.832.077 ;AGUSTUS;2022
GEDANGAN; 11.300 ; 4.243.529.429 ;AGUSTUS;2022
NGAGEL; 8.499 ; 3.639.260.449 ;AGUSTUS;2022
RUNGKUT; 8.856 ; 3.942.487.030 ;AGUSTUS;2022
DARMO PERMAI; 10.712 ; 3.637.220.456 ;JULI;2022
DUKUH KUPANG; 6.856 ; 2.225.690.632 ;JULI;2022
GEDANGAN; 11.017 ; 3.298.402.240 ;JULI;2022
NGAGEL; 8.759 ; 3.542.810.388 ;JULI;2022
RUNGKUT; 9.534 ; 3.827.318.118 ;JULI;2022
DARMO PERMAI; 10.297 ; 3.571.116.892 ;JUNI;2022
DUKUH KUPANG; 6.721 ; 2.566.665.781 ;JUNI;2022
GEDANGAN; 11.394 ; 3.450.662.594 ;JUNI;2022
NGAGEL; 8.330 ; 3.472.496.719 ;JUNI;2022
RUNGKUT; 9.490 ; 4.017.559.811 ;JUNI;2022
